area_m2,bedrooms,floor,furnished,city_zone,distance_center_km,monthly_rent
45,1,2,No,Outer,8.5,3200
60,2,3,Yes,Central,2.0,5600
75,2,5,No,Central,1.5,6200
90,3,4,Yes,Inner,4.0,7100
55,1,1,No,Outer,10.0,3500
110,3,6,Yes,Central,1.0,9200
80,2,2,No,Inner,5.5,6000
65,2,4,Yes,Inner,3.5,5800
100,3,7,No,Central,2.5,8300
50,1,3,Yes,Outer,7.0,3900
70,2,5,No,Inner,4.5,5700
85,3,2,Yes,Inner,6.0,6500
120,4,8,Yes,Central,0.8,11000
58,2,1,No,Outer,9.0,3600
95,3,5,No,Central,2.2,7900
62,2,,Yes,Inner,4.2,5400
78,2,6,No,Central,3.0,6600
88,3,4,,Inner,5.0,6800
52,1,2,No,Outer,8.0,3400
105,3,7,Yes,Central,1.7,8900
